# generated by standalone/check-upstream-text.py, scanner 1
# file:line	class	string
src/frontend/sdl/menu.cpp:1412	ui	\x02 BIND   \x03 CLEAR   \x04 DEFAULTS
src/frontend/sdl/menu.cpp:1566	ui	\x02 DONE   \x01 CANCEL
src/frontend/sdl/menu.cpp:1666	ui	\x03 DELETE
src/frontend/sdl/menu.cpp:1666	ui	\x03 DONE
src/frontend/sdl/menu.cpp:583	ui	am I signed in
src/frontend/sdl/menu.cpp:246	ui	kCheatRow must name the cheats row
src/frontend/sdl/menu.cpp:247	ui	kCheevosRow must name the achievements row
src/frontend/sdl/menu.cpp:244	ui	kOptionsRow must name the options row
src/frontend/sdl/menu.cpp:243	ui	kRootRows must match the table
src/frontend/sdl/menu.cpp:245	ui	kSlotRow must name the slot row
src/frontend/sdl/menu.cpp:1353	ui	no key
src/frontend/sdl/menu.cpp:670	ui	unknown emulator
src/frontend/sdl/settings.cpp:114	other	%
src/frontend/sdl/settings.cpp:310	other	%
src/frontend/sdl/settings.cpp:253	other	%.2f
src/frontend/sdl/settings.cpp:288	other	--
src/frontend/sdl/settings.cpp:288	other	--
src/frontend/sdl/settings.cpp:292	other	--
src/frontend/sdl/settings.cpp:37	other	0
src/frontend/sdl/settings.cpp:62	other	0
src/frontend/sdl/settings.cpp:98	other	0
src/frontend/sdl/settings.cpp:121	other	0
src/frontend/sdl/settings.cpp:122	other	0
src/frontend/sdl/settings.cpp:161	other	0
src/frontend/sdl/settings.cpp:169	other	0
src/frontend/sdl/settings.cpp:191	other	0
src/frontend/sdl/settings.cpp:221	other	0
src/frontend/sdl/settings.cpp:194	other	0.25
src/frontend/sdl/settings.cpp:186	other	0.33
src/frontend/sdl/settings.cpp:254	other	0.5
src/frontend/sdl/settings.cpp:254	other	0.50
src/frontend/sdl/settings.cpp:37	other	1
src/frontend/sdl/settings.cpp:43	other	1
src/frontend/sdl/settings.cpp:62	other	1
src/frontend/sdl/settings.cpp:188	other	1
src/frontend/sdl/settings.cpp:223	other	1
src/frontend/sdl/settings.cpp:225	other	1
src/frontend/sdl/settings.cpp:227	other	1
src/frontend/sdl/settings.cpp:241	other	1
src/frontend/sdl/settings.cpp:39	other	10
src/frontend/sdl/settings.cpp:45	other	10
src/frontend/sdl/settings.cpp:110	other	100
src/frontend/sdl/settings.cpp:113	other	100
src/frontend/sdl/settings.cpp:39	other	11
src/frontend/sdl/settings.cpp:45	other	11
src/frontend/sdl/settings.cpp:40	other	12
src/frontend/sdl/settings.cpp:45	other	12
src/frontend/sdl/settings.cpp:24	other	120
src/frontend/sdl/settings.cpp:24	other	120
src/frontend/sdl/settings.cpp:40	other	13
src/frontend/sdl/settings.cpp:40	other	14
src/frontend/sdl/settings.cpp:25	other	144
src/frontend/sdl/settings.cpp:25	other	144
src/frontend/sdl/settings.cpp:40	other	15
src/frontend/sdl/settings.cpp:37	other	2
src/frontend/sdl/settings.cpp:43	other	2
src/frontend/sdl/settings.cpp:62	other	2
src/frontend/sdl/settings.cpp:25	other	240
src/frontend/sdl/settings.cpp:25	other	240
src/frontend/sdl/settings.cpp:37	other	3
src/frontend/sdl/settings.cpp:43	other	3
src/frontend/sdl/settings.cpp:63	other	3
src/frontend/sdl/settings.cpp:123	other	3
src/frontend/sdl/settings.cpp:24	other	30
src/frontend/sdl/settings.cpp:24	other	30
src/frontend/sdl/settings.cpp:38	other	4
src/frontend/sdl/settings.cpp:43	other	4
src/frontend/sdl/settings.cpp:63	other	4
src/frontend/sdl/settings.cpp:38	other	5
src/frontend/sdl/settings.cpp:44	other	5
src/frontend/sdl/settings.cpp:63	other	5
src/frontend/sdl/settings.cpp:38	other	6
src/frontend/sdl/settings.cpp:44	other	6
src/frontend/sdl/settings.cpp:24	other	60
src/frontend/sdl/settings.cpp:24	other	60
src/frontend/sdl/settings.cpp:190	other	60
src/frontend/sdl/settings.cpp:38	other	7
src/frontend/sdl/settings.cpp:44	other	7
src/frontend/sdl/settings.cpp:39	other	8
src/frontend/sdl/settings.cpp:44	other	8
src/frontend/sdl/settings.cpp:39	other	9
src/frontend/sdl/settings.cpp:45	other	9
src/frontend/sdl/settings.cpp:217	other	DSperate
src/frontend/sdl/settings.cpp:122	other	X
src/frontend/sdl/settings.cpp:29	other	accurate
src/frontend/sdl/settings.cpp:17	other	adaptive
src/frontend/sdl/settings.cpp:100	other	adaptive
src/frontend/sdl/settings.cpp:130	other	audio.buffer_size
src/frontend/sdl/settings.cpp:21	other	auto
src/frontend/sdl/settings.cpp:24	other	auto
src/frontend/sdl/settings.cpp:51	other	auto
src/frontend/sdl/settings.cpp:108	other	auto
src/frontend/sdl/settings.cpp:130	other	auto
src/frontend/sdl/settings.cpp:132	other	auto
src/frontend/sdl/settings.cpp:167	other	auto
src/frontend/sdl/settings.cpp:168	other	auto
src/frontend/sdl/settings.cpp:192	other	auto
src/frontend/sdl/settings.cpp:193	other	auto
src/frontend/sdl/settings.cpp:70	other	bl
src/frontend/sdl/settings.cpp:30	other	blend
src/frontend/sdl/settings.cpp:30	other	blend_linear
src/frontend/sdl/settings.cpp:35	other	bottom
src/frontend/sdl/settings.cpp:70	other	br
src/frontend/sdl/settings.cpp:184	other	br
src/frontend/sdl/settings.cpp:30	other	dark
src/frontend/sdl/settings.cpp:163	other	dark
src/frontend/sdl/settings.cpp:69	other	dominant_h
src/frontend/sdl/settings.cpp:69	other	dominant_v
src/frontend/sdl/settings.cpp:135	other	emu.autoload
src/frontend/sdl/settings.cpp:133	other	emu.autosave
src/frontend/sdl/settings.cpp:102	other	emu.cpu_tuning
src/frontend/sdl/settings.cpp:138	other	emu.dsi_hide_installed
src/frontend/sdl/settings.cpp:141	other	emu.dsi_nand_shortcuts
src/frontend/sdl/settings.cpp:106	other	emu.fast_load
src/frontend/sdl/settings.cpp:123	other	emu.ff_skip
src/frontend/sdl/settings.cpp:121	other	emu.ff_speed
src/frontend/sdl/settings.cpp:98	other	emu.frameskip
src/frontend/sdl/settings.cpp:100	other	emu.frameskip_mode
src/frontend/sdl/settings.cpp:108	other	emu.limiter
src/frontend/sdl/settings.cpp:113	other	emu.speed
src/frontend/sdl/settings.cpp:104	other	emu.timing_oc
src/frontend/sdl/settings.cpp:29	other	enhanced
src/frontend/sdl/settings.cpp:33	other	extreme
src/frontend/sdl/settings.cpp:16	other	false
src/frontend/sdl/settings.cpp:19	other	false
src/frontend/sdl/settings.cpp:27	other	false
src/frontend/sdl/settings.cpp:33	other	false
src/frontend/sdl/settings.cpp:66	other	false
src/frontend/sdl/settings.cpp:102	other	false
src/frontend/sdl/settings.cpp:104	other	false
src/frontend/sdl/settings.cpp:106	other	false
src/frontend/sdl/settings.cpp:133	other	false
src/frontend/sdl/settings.cpp:135	other	false
src/frontend/sdl/settings.cpp:138	other	false
src/frontend/sdl/settings.cpp:141	other	false
src/frontend/sdl/settings.cpp:159	other	false
src/frontend/sdl/settings.cpp:165	other	false
src/frontend/sdl/settings.cpp:173	other	false
src/frontend/sdl/settings.cpp:175	other	false
src/frontend/sdl/settings.cpp:17	other	fixed
src/frontend/sdl/settings.cpp:3	other	frontend/sdl/settings.h
src/frontend/sdl/settings.cpp:51	other	guest
src/frontend/sdl/settings.cpp:68	other	horizontal
src/frontend/sdl/settings.cpp:51	other	host
src/frontend/sdl/settings.cpp:61	other	host
src/frontend/sdl/settings.cpp:52	other	internet
src/frontend/sdl/settings.cpp:34	other	max
src/frontend/sdl/settings.cpp:31	other	mean
src/frontend/sdl/settings.cpp:33	other	mean
src/frontend/sdl/settings.cpp:34	other	min
src/frontend/sdl/settings.cpp:34	other	mode
src/frontend/sdl/settings.cpp:149	other	net.mode
src/frontend/sdl/settings.cpp:25	other	off
src/frontend/sdl/settings.cpp:26	other	off
src/frontend/sdl/settings.cpp:29	other	off
src/frontend/sdl/settings.cpp:51	other	off
src/frontend/sdl/settings.cpp:149	other	off
src/frontend/sdl/settings.cpp:157	other	off
src/frontend/sdl/settings.cpp:171	other	off
src/frontend/sdl/settings.cpp:241	other	on
src/frontend/sdl/settings.cpp:26	other	over
src/frontend/sdl/settings.cpp:19	other	overclock
src/frontend/sdl/settings.cpp:69	other	pip
src/frontend/sdl/settings.cpp:68	other	single
src/frontend/sdl/settings.cpp:27	other	smooth
src/frontend/sdl/settings.cpp:34	other	tl
src/frontend/sdl/settings.cpp:70	other	tl
src/frontend/sdl/settings.cpp:35	other	top
src/frontend/sdl/settings.cpp:182	other	top
src/frontend/sdl/settings.cpp:70	other	tr
src/frontend/sdl/settings.cpp:16	other	true
src/frontend/sdl/settings.cpp:18	other	true
src/frontend/sdl/settings.cpp:27	other	true
src/frontend/sdl/settings.cpp:66	other	true
src/frontend/sdl/settings.cpp:198	other	true
src/frontend/sdl/settings.cpp:200	other	true
src/frontend/sdl/settings.cpp:202	other	true
src/frontend/sdl/settings.cpp:204	other	true
src/frontend/sdl/settings.cpp:206	other	true
src/frontend/sdl/settings.cpp:208	other	true
src/frontend/sdl/settings.cpp:241	other	true
src/frontend/sdl/settings.cpp:26	other	under
src/frontend/sdl/settings.cpp:19	other	underclock
src/frontend/sdl/settings.cpp:225	other	user.birthday_day
src/frontend/sdl/settings.cpp:223	other	user.birthday_month
src/frontend/sdl/settings.cpp:221	other	user.colour
src/frontend/sdl/settings.cpp:227	other	user.language
src/frontend/sdl/settings.cpp:219	other	user.message
src/frontend/sdl/settings.cpp:217	other	user.nickname
src/frontend/sdl/settings.cpp:68	other	vertical
src/frontend/sdl/settings.cpp:180	other	vertical
src/frontend/sdl/settings.cpp:171	other	video.aa
src/frontend/sdl/settings.cpp:165	other	video.chunky
src/frontend/sdl/settings.cpp:167	other	video.chunky_cell
src/frontend/sdl/settings.cpp:192	other	video.dominant_ratio
src/frontend/sdl/settings.cpp:194	other	video.dominant_threshold
src/frontend/sdl/settings.cpp:173	other	video.fps
src/frontend/sdl/settings.cpp:175	other	video.fullscreen
src/frontend/sdl/settings.cpp:157	other	video.integer_scale
src/frontend/sdl/settings.cpp:180	other	video.layout
src/frontend/sdl/settings.cpp:208	other	video.layout_cycle.dominant_h
src/frontend/sdl/settings.cpp:206	other	video.layout_cycle.dominant_v
src/frontend/sdl/settings.cpp:200	other	video.layout_cycle.horizontal
src/frontend/sdl/settings.cpp:204	other	video.layout_cycle.pip
src/frontend/sdl/settings.cpp:202	other	video.layout_cycle.single
src/frontend/sdl/settings.cpp:198	other	video.layout_cycle.vertical
src/frontend/sdl/settings.cpp:161	other	video.lcd_grid
src/frontend/sdl/settings.cpp:159	other	video.linear
src/frontend/sdl/settings.cpp:188	other	video.pip_alpha
src/frontend/sdl/settings.cpp:184	other	video.pip_corner
src/frontend/sdl/settings.cpp:186	other	video.pip_scale
src/frontend/sdl/settings.cpp:190	other	video.pip_touch_hold
src/frontend/sdl/settings.cpp:182	other	video.screen
src/frontend/sdl/settings.cpp:169	other	video.screen_gap
src/frontend/sdl/settings.cpp:163	other	video.seam
src/frontend/sdl/settings.cpp:151	other	wifi.dns
src/frontend/sdl/settings.cpp:61	other	wiimmfi
src/frontend/sdl/settings.cpp:151	other	wiimmfi
src/frontend/sdl/settings.cpp:241	other	yes
src/frontend/sdl/settings.cpp:132	ui	 MS
src/frontend/sdl/settings.cpp:115	ui	1X
src/frontend/sdl/settings.cpp:22	ui	60 fps
src/frontend/sdl/settings.cpp:162	ui	A DARK SEAM AROUND EVERY DS PIXEL, LIKE THE ORIGINAL SCREEN
src/frontend/sdl/settings.cpp:29	ui	ACCURATE
src/frontend/sdl/settings.cpp:172	ui	ACCURATE BLENDS 3D EDGES AS THE HARDWARE DID. ENHANCED REDRAWS THE STEPPED EDGE BETWEEN OBJECTS AS STRAIGHT LINES ON TOP OF THAT
src/frontend/sdl/settings.cpp:17	ui	ADAPTIVE
src/frontend/sdl/settings.cpp:33	ui	ADAPTIVE
src/frontend/sdl/settings.cpp:101	ui	ADAPTIVE SKIPS ONLY WHILE BEHIND REAL TIME
src/frontend/sdl/settings.cpp:171	ui	ANTI-ALIASING
src/frontend/sdl/settings.cpp:43	ui	APRIL
src/frontend/sdl/settings.cpp:122	ui	AT LEAST THIS MANY TIMES REAL TIME WHILE FAST FORWARD IS HELD
src/frontend/sdl/settings.cpp:130	ui	AUDIO BUFFER
src/frontend/sdl/settings.cpp:44	ui	AUGUST
src/frontend/sdl/settings.cpp:51	ui	AUTO
src/frontend/sdl/settings.cpp:132	ui	AUTO
src/frontend/sdl/settings.cpp:168	ui	AUTO
src/frontend/sdl/settings.cpp:193	ui	AUTO
src/frontend/sdl/settings.cpp:135	ui	AUTOLOAD ON START
src/frontend/sdl/settings.cpp:133	ui	AUTOSAVE ON QUIT
src/frontend/sdl/settings.cpp:159	ui	BILINEAR
src/frontend/sdl/settings.cpp:225	ui	BIRTHDAY DAY
src/frontend/sdl/settings.cpp:223	ui	BIRTHDAY MONTH
src/frontend/sdl/settings.cpp:42	ui	BIRTHDAY MONTH 11
src/frontend/sdl/settings.cpp:30	ui	BLEND
src/frontend/sdl/settings.cpp:30	ui	BLEND LINEAR
src/frontend/sdl/settings.cpp:39	ui	BLUE
src/frontend/sdl/settings.cpp:35	ui	BOTTOM
src/frontend/sdl/settings.cpp:70	ui	BOTTOM LEFT
src/frontend/sdl/settings.cpp:70	ui	BOTTOM RIGHT
src/frontend/sdl/settings.cpp:37	ui	BROWN
src/frontend/sdl/settings.cpp:165	ui	CHUNKY
src/frontend/sdl/settings.cpp:167	ui	CHUNKY CELL
src/frontend/sdl/settings.cpp:34	ui	COMMON
src/frontend/sdl/settings.cpp:24	ui	CONSOLE (59.8)
src/frontend/sdl/settings.cpp:102	ui	CPU TUNING
src/frontend/sdl/settings.cpp:208	ui	CYCLE DOMINANT H
src/frontend/sdl/settings.cpp:206	ui	CYCLE DOMINANT V
src/frontend/sdl/settings.cpp:200	ui	CYCLE HORIZONTAL
src/frontend/sdl/settings.cpp:204	ui	CYCLE PIP
src/frontend/sdl/settings.cpp:202	ui	CYCLE SINGLE
src/frontend/sdl/settings.cpp:198	ui	CYCLE VERTICAL
src/frontend/sdl/settings.cpp:30	ui	DARK
src/frontend/sdl/settings.cpp:39	ui	DARK BLUE
src/frontend/sdl/settings.cpp:164	ui	DARK DRAWS THE GRID. BLEND SOFTENS ONLY THE STRADDLING PIXEL
src/frontend/sdl/settings.cpp:39	ui	DARK GREEN
src/frontend/sdl/settings.cpp:40	ui	DARK PINK
src/frontend/sdl/settings.cpp:34	ui	DARKEST
src/frontend/sdl/settings.cpp:45	ui	DECEMBER
src/frontend/sdl/settings.cpp:33	ui	DEFAULT
src/frontend/sdl/settings.cpp:151	ui	DNS
src/frontend/sdl/settings.cpp:69	ui	DOMINANT H
src/frontend/sdl/settings.cpp:192	ui	DOMINANT RATIO
src/frontend/sdl/settings.cpp:194	ui	DOMINANT THRESHOLD
src/frontend/sdl/settings.cpp:69	ui	DOMINANT V
src/frontend/sdl/settings.cpp:166	ui	DRAW BLOCKS OF DS PIXELS AS ONE FLAT CELL, FOR PANELS AT ODD SCALES
src/frontend/sdl/settings.cpp:99	ui	DRAW FEWER FRAMES. THE GAME STILL RUNS IN FULL
src/frontend/sdl/settings.cpp:139	ui	DSI MENU: HIDE THE NAND DUMP'S OWN TITLES. THE DUMP IS NOT CHANGED
src/frontend/sdl/settings.cpp:141	ui	DSI NAND LINKS
src/frontend/sdl/settings.cpp:62	ui	ENGLISH
src/frontend/sdl/settings.cpp:29	ui	ENHANCED
src/frontend/sdl/settings.cpp:123	ui	FAST FORWARD SKIP
src/frontend/sdl/settings.cpp:121	ui	FAST FORWARD SPEED
src/frontend/sdl/settings.cpp:106	ui	FAST LOAD
src/frontend/sdl/settings.cpp:105	ui	FASTEST AND LEAST SAFE. GAMES THAT PACE ON THE 3D FIFO WILL BREAK
src/frontend/sdl/settings.cpp:221	ui	FAVOURITE COLOUR
src/frontend/sdl/settings.cpp:43	ui	FEBRUARY
src/frontend/sdl/settings.cpp:34	ui	FIRST
src/frontend/sdl/settings.cpp:17	ui	FIXED
src/frontend/sdl/settings.cpp:173	ui	FPS COUNTER
src/frontend/sdl/settings.cpp:108	ui	FRAME LIMITER
src/frontend/sdl/settings.cpp:174	ui	FRAMES PER SECOND IN THE CORNER OF THE SCREEN
src/frontend/sdl/settings.cpp:191	ui	FRAMES THE SMALL SCREEN STAYS SOLID AFTER IT IS TOUCHED
src/frontend/sdl/settings.cpp:98	ui	FRAMESKIP
src/frontend/sdl/settings.cpp:100	ui	FRAMESKIP MODE
src/frontend/sdl/settings.cpp:62	ui	FRENCH
src/frontend/sdl/settings.cpp:175	ui	FULLSCREEN
src/frontend/sdl/settings.cpp:142	ui	GAME LIST ENTRIES THAT START THE NAND'S DSIWARE WITHOUT THE DSI MENU
src/frontend/sdl/settings.cpp:113	ui	GAME SPEED
src/frontend/sdl/settings.cpp:224	ui	GAMES THAT WISH YOU A HAPPY BIRTHDAY USE THIS
src/frontend/sdl/settings.cpp:63	ui	GERMAN
src/frontend/sdl/settings.cpp:38	ui	GREEN
src/frontend/sdl/settings.cpp:37	ui	GREY
src/frontend/sdl/settings.cpp:51	ui	GUEST
src/frontend/sdl/settings.cpp:138	ui	HIDE NAND DSIWARE
src/frontend/sdl/settings.cpp:68	ui	HORIZONTAL
src/frontend/sdl/settings.cpp:51	ui	HOST
src/frontend/sdl/settings.cpp:61	ui	HOST
src/frontend/sdl/settings.cpp:187	ui	HOW BIG THE SMALL SCREEN IS AGAINST THE LARGE ONE
src/frontend/sdl/settings.cpp:114	ui	HOW FAST THE GAME RUNS AGAINST THE LIMITER
src/frontend/sdl/settings.cpp:189	ui	HOW SOLID THE SMALL SCREEN IS AT REST
src/frontend/sdl/settings.cpp:181	ui	HOW THE TWO SCREENS SHARE THE WINDOW
src/frontend/sdl/settings.cpp:157	ui	INTEGER SCALE
src/frontend/sdl/settings.cpp:52	ui	INTERNET
src/frontend/sdl/settings.cpp:63	ui	ITALIAN
src/frontend/sdl/settings.cpp:43	ui	JANUARY
src/frontend/sdl/settings.cpp:62	ui	JAPANESE
src/frontend/sdl/settings.cpp:44	ui	JULY
src/frontend/sdl/settings.cpp:44	ui	JUNE
src/frontend/sdl/settings.cpp:227	ui	LANGUAGE
src/frontend/sdl/settings.cpp:180	ui	LAYOUT
src/frontend/sdl/settings.cpp:161	ui	LCD GRID
src/frontend/sdl/settings.cpp:34	ui	LIGHTEST
src/frontend/sdl/settings.cpp:38	ui	LIME
